"Name","Family","Source","Rarity","Size","Type","Traits","Level","Spoilers?"
"<u><a href=""Monsters.aspx?ID=872"">Ammut</a></u>","—","<u><a href=""Sources.aspx?ID=33"" title=""Pathfinder #155: Lord of the Black Sands"">Pathfinder #155</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Huge","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=750"">Amoeba Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=79"">Ooze</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=122"">Ooze</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>, <u><a href=""Traits.aspx?ID=122"">Ooze</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=1060"">Amphisbaena</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=1424"">Anadi Elder</a></u>","<u><a href=""MonsterFamilies.aspx?ID=107"">Anadi</a></u>","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=255"">Anadi</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1608"">Anadi Fateweaver</a></u>","<u><a href=""MonsterFamilies.aspx?ID=107"">Anadi</a></u>","<u><a href=""Sources.aspx?ID=94"" title=""Pathfinder #169: Kindled Magic"">Pathfinder #169</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=255"">Anadi</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=1422"">Anadi Hunter</a></u>","<u><a href=""MonsterFamilies.aspx?ID=107"">Anadi</a></u>","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=255"">Anadi</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=1607"">Anadi Lurker</a></u>","<u><a href=""MonsterFamilies.aspx?ID=107"">Anadi</a></u>","<u><a href=""Sources.aspx?ID=94"" title=""Pathfinder #169: Kindled Magic"">Pathfinder #169</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=255"">Anadi</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1423"">Anadi Sage</a></u>","<u><a href=""MonsterFamilies.aspx?ID=107"">Anadi</a></u>","<u><a href=""Sources.aspx?ID=89"" title=""The Mwangi Expanse"">The Mwangi Expanse</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=255"">Anadi</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=1606"">Anadi Seeker</a></u>","<u><a href=""MonsterFamilies.aspx?ID=107"">Anadi</a></u>","<u><a href=""Sources.aspx?ID=94"" title=""Pathfinder #169: Kindled Magic"">Pathfinder #169</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=255"">Anadi</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=667"">Anancus</a></u>","<u><a href=""MonsterFamilies.aspx?ID=46"">Elephant</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=129"">Ancient Black Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=165"">Dragon, Black</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=3"">Acid</a></u>, <u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=132"">Ancient Blue Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=166"">Dragon, Blue</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=56"">Electricity</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=144"">Ancient Brass Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=170"">Dragon, Brass</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=623"">Ancient Brine Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=175"">Dragon, Brine</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","17","—"
"<u><a href=""Monsters.aspx?ID=147"">Ancient Bronze Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=171"">Dragon, Bronze</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=626"">Ancient Cloud Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=176"">Dragon, Cloud</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","19","—"
"<u><a href=""Monsters.aspx?ID=150"">Ancient Copper Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=172"">Dragon, Copper</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>","17","—"
"<u><a href=""Monsters.aspx?ID=629"">Ancient Crystal Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=177"">Dragon, Crystal</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=1124"">Ancient Forest Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=227"">Dragon, Forest</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=125"">Plant</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=125"">Plant</a></u>","19","—"
"<u><a href=""Monsters.aspx?ID=153"">Ancient Gold Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=173"">Dragon, Gold</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","20","—"
"<u><a href=""Monsters.aspx?ID=135"">Ancient Green Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=167"">Dragon, Green</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","17","—"
"<u><a href=""Monsters.aspx?ID=633"">Ancient Magma Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=178"">Dragon, Magma</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=138"">Ancient Red Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=168"">Dragon, Red</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","19","—"
"<u><a href=""Monsters.aspx?ID=1127"">Ancient Sea Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=228"">Dragon, Sea</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=207"">Amphibious</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=165"">Water</a></u>","17","—"
"<u><a href=""Monsters.aspx?ID=156"">Ancient Silver Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=174"">Dragon, Silver</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","19","—"
"<u><a href=""Monsters.aspx?ID=1130"">Ancient Sky Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=229"">Dragon, Sky</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=56"">Electricity</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=1133"">Ancient Sovereign Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=230"">Dragon, Sovereign</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>","20","—"
"<u><a href=""Monsters.aspx?ID=636"">Ancient Umbral Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=179"">Dragon, Umbral</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=143"">Shadow</a></u>","20","—"
"<u><a href=""Monsters.aspx?ID=1136"">Ancient Underworld Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=231"">Dragon, Underworld</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=141"">Ancient White Dragon</a></u>","<u><a href=""MonsterFamilies.aspx?ID=169"">Dragon, White</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","15","—"
"<u><a href=""Monsters.aspx?ID=1061"">Android Infiltrator</a></u>","<u><a href=""MonsterFamilies.aspx?ID=217"">Android</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=334"">Android</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=1062"">Angazhani</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=1234"">Angheuvore Flesh-Gnawer</a></u>","<u><a href=""MonsterFamilies.aspx?ID=248"">Mortic</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=58"">Elf</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=357"">Mortic</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=1402"">Angoyang</a></u>","—","<u><a href=""Sources.aspx?ID=86"" title=""Pathfinder #167: Ready? Fight!"">Pathfinder #167</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=546"">Animate Dream</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=299"">Dream</a></u>","<u><a href=""Traits.aspx?ID=299"">Dream</a></u>, <u><a href=""Traits.aspx?ID=222"">Incorporeal</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=19"">Animated Armor</a></u>","<u><a href=""MonsterFamilies.aspx?ID=4"">Animated Object</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=18"">Animated Broom</a></u>","<u><a href=""MonsterFamilies.aspx?ID=4"">Animated Object</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","-1","—"
"<u><a href=""Monsters.aspx?ID=1066"">Animated Colossus</a></u>","<u><a href=""MonsterFamilies.aspx?ID=4"">Animated Object</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","15","—"
"<u><a href=""Monsters.aspx?ID=1586"">Animated Dragonstorms</a></u>","—","<u><a href=""Sources.aspx?ID=15"" title=""Pathfinder #150: Broken Promises"">Pathfinder #150</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Huge","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","18","Pathfinder #150: Broken Promises"
"<u><a href=""Monsters.aspx?ID=1064"">Animated Furnace</a></u>","<u><a href=""MonsterFamilies.aspx?ID=4"">Animated Object</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=1063"">Animated Silverware Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=4"">Animated Object</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=20"">Animated Statue</a></u>","<u><a href=""MonsterFamilies.aspx?ID=4"">Animated Object</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=55"">Earth</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1065"">Animated Trebuchet</a></u>","<u><a href=""MonsterFamilies.aspx?ID=4"">Animated Object</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=23"">Ankhrav</a></u>","<u><a href=""MonsterFamilies.aspx?ID=5"">Ankhrav</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=547"">Ankou</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=119"">Ankylosaurus</a></u>","<u><a href=""MonsterFamilies.aspx?ID=32"">Dinosaur</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=45"">Dinosaur</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=256"">Annis Hag</a></u>","<u><a href=""MonsterFamilies.aspx?ID=59"">Hag</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=84"">Hag</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","6","—"
"<u><a href=""NPCs.aspx?ID=961"">Antipaladin</a></u>","<u><a href=""MonsterFamilies.aspx?ID=198"">Villains</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=1392"">Anugobu Apprentice</a></u>","<u><a href=""MonsterFamilies.aspx?ID=284"">Anugobu</a></u>","<u><a href=""Sources.aspx?ID=85"" title=""Pathfinder #166: Despair on Danger Island"">Pathfinder #166</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Tiny","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=376"">Anugobu</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1393"">Anugobu Wondercrafter</a></u>","<u><a href=""MonsterFamilies.aspx?ID=284"">Anugobu</a></u>","<u><a href=""Sources.aspx?ID=85"" title=""Pathfinder #166: Despair on Danger Island"">Pathfinder #166</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Tiny","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=376"">Anugobu</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","7","—"
